date,title,summary,topic,media,link
2022-08-13,COVID-19: Salud reporta ocho nuevas muertes y 366 personas hospitalizadas,"Del total de hospitalizados, 45 son pacientes pediátricos y uno de ellos está en intensivo",Locales,El Nuevo Dia,https://www.elnuevodia.com/noticias/locales/notas/covid-19-salud-reporta-ocho-nuevas-muertes-y-366-personas-hospitalizadas/
2022-08-13,Delicado de salud el excampeón olímpico cubano Alberto Juantorena,El exatleta fue hospitalizado con un cuadro de bronconeumonía y descompensación cardiovascular,Otros deportes,El Nuevo Dia,https://www.elnuevodia.com/deportes/otros-deportes/notas/delicado-de-salud-el-excampeon-olimpico-cubano-alberto-juantorena/
2022-08-13,Restringen acceso a un tramo de playa Flamenco en Culebra para detonar un “proyectil explosivo”,"El artefacto fue hallado cerca del área del tanque militar. Autoridades estatales y federales se encuentran en el lugar atendiendo la emergencia, aunque aseguran que está “controlada”.",Seguridad,El Nuevo Dia,https://www.elnuevodia.com/noticias/seguridad/notas/restringen-acceso-a-la-playa-flamenco-en-culebra-para-detonar-un-proyectil-explosivo/
2022-08-13,U.S House passes budget reconciliation bill,The legislation - which now heads to President Biden´s desk for his signature - injects $369 billion in climate change measures and allows Medicare to directly negotiate prices with drug companies.,News,El Nuevo Dia,https://www.elnuevodia.com/english/news/story/us-house-passes-budget-reconciliation-bill/
2022-08-13,¡Y la ganadora es Miss Guaynabo!,"La historia está llena de ejemplos reales de que no hay que ser el ganador de un premio para prevalecer en lo importante, que es trascender. Ariana trasciende, escribe Byankah Sobá",Para suscriptores,El Nuevo Dia,https://www.elnuevodia.com/opinion/punto-de-vista/y-la-ganadora-es-miss-guaynabo/
2022-08-13,Muere un conductor de 25 años tras chocar con un poste en Río Piedras,"El accidente se reportó en la madrugada, en la avenida Barbosa",Seguridad,El Nuevo Dia,https://www.elnuevodia.com/noticias/seguridad/notas/muere-un-conductor-de-25-anos-tras-chocar-con-un-poste-en-rio-piedras/
2022-08-13,¡Qué difícil y costoso es ser mujer!,"Se imponen códigos estrictos a las mujeres y les exigen que deben preocuparse por su apariencia. Ser mujer es muy caro, escribe Martha Quiñones Domínguez   ",Para suscriptores,El Nuevo Dia,https://www.elnuevodia.com/opinion/punto-de-vista/que-dificil-y-costoso-es-ser-mujer/
2022-08-13,“Es una emoción que no podría describir”: De fiesta Corozal con el título de las Pinkin,El sexteto corozaleño barrió en cuatro juegos a Caguas en la final para alcanzar su título número 18 en la historia de la franquicia,Voleibol,El Nuevo Dia,https://www.elnuevodia.com/deportes/voleibol/notas/es-una-emocion-que-no-podria-describir-de-fiesta-corozal-con-el-titulo-de-las-pinkin/
2022-08-13,Más comedia que acción en “Day Shift”,Jamie Fox interpreta a un cazavampiros,Películas y series,El Nuevo Dia,https://www.elnuevodia.com/entretenimiento/peliculas-series/notas/mas-comedia-que-accion-en-day-shift/
2022-08-13,“Igor” González y los Toritos de Cayey se colocan a las puertas de la final del Béisbol Doble A,"La novena, que dirige el exjugador de las Mayores, domina la serie semifinal 3-0 ante Hormigueros, mientras Salinas viene de tomar la delantera 2-1 sobre Guaynabo",Béisbol,El Nuevo Dia,https://www.elnuevodia.com/deportes/beisbol/notas/igor-gonzalez-y-los-toritos-de-cayey-se-colocan-a-las-puertas-de-la-final-del-beisbol-doble-a/
